""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"	"signature_file"	"signature_file_complete"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"	""	""	""
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date (YYYY-MM-DD) "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age of youngest subject including both cases and controls"	"age of oldest subject including both cases and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material"	"additional exposure material"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"Haralambieva et al. (2016) Transcriptional signatures of influenza A/H1N1-specific IgG memory-like B cell response in older individuals. Vaccine. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456' target='_blank'>27317456</a>"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"ID of observation within a publication (PMID) and for its submission type "	"ID of observation within its submission type"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"hipc_vac_gene_27317456_6"	"2016.06.19"	"hipc_vac_gene_27317456_6"	"BRD7"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"BRD7"	"N"	"gene expression"	"negatively correlated"	"memory B cell response at 28d"	"time of vaccination"	"28"	"days"	"VO:0000045"	""	"2010"	""	""	""	"27317456"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2016"	"Suppl Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/bin/NIHMS880612-supplement-Supplemental_Information.docx' target='_blank'>supplement-Supplemental_Information.docx</a>"	""	"2097"	"2034"	"6"	"218"	"27317456_6_218"	"hipc_vac_gene_sig_27317456_6.txt"	"hipc_vac_gene_sig_complete_27317456_6.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_27317456_6"	"2016.06.19"	"hipc_vac_gene_27317456_6"	"MYL12B"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"MYL12B"	"N"	"gene expression"	"negatively correlated"	"memory B cell response at 28d"	"time of vaccination"	"28"	"days"	"VO:0000045"	""	"2010"	""	""	""	"27317456"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2016"	"Suppl Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/bin/NIHMS880612-supplement-Supplemental_Information.docx' target='_blank'>supplement-Supplemental_Information.docx</a>"	""	"2097"	"2034"	"6"	"218"	"27317456_6_218"	"hipc_vac_gene_sig_27317456_6.txt"	"hipc_vac_gene_sig_complete_27317456_6.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_27317456_6"	"2016.06.19"	"hipc_vac_gene_27317456_6"	"BCAP31"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"BCAP31"	"N"	"gene expression"	"negatively correlated"	"memory B cell response at 28d"	"time of vaccination"	"28"	"days"	"VO:0000045"	""	"2010"	""	""	""	"27317456"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2016"	"Suppl Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/bin/NIHMS880612-supplement-Supplemental_Information.docx' target='_blank'>supplement-Supplemental_Information.docx</a>"	""	"2097"	"2034"	"6"	"218"	"27317456_6_218"	"hipc_vac_gene_sig_27317456_6.txt"	"hipc_vac_gene_sig_complete_27317456_6.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_27317456_6"	"2016.06.19"	"hipc_vac_gene_27317456_6"	"SSNA1"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SSNA1"	"N"	"gene expression"	"negatively correlated"	"memory B cell response at 28d"	"time of vaccination"	"28"	"days"	"VO:0000045"	""	"2010"	""	""	""	"27317456"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2016"	"Suppl Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/bin/NIHMS880612-supplement-Supplemental_Information.docx' target='_blank'>supplement-Supplemental_Information.docx</a>"	""	"2097"	"2034"	"6"	"218"	"27317456_6_218"	"hipc_vac_gene_sig_27317456_6.txt"	"hipc_vac_gene_sig_complete_27317456_6.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_27317456_6"	"2016.06.19"	"hipc_vac_gene_27317456_6"	"NELFB"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"COBRA1"	"N"	"gene expression"	"negatively correlated"	"memory B cell response at 28d"	"time of vaccination"	"28"	"days"	"VO:0000045"	""	"2010"	""	""	""	"27317456"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2016"	"Suppl Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/bin/NIHMS880612-supplement-Supplemental_Information.docx' target='_blank'>supplement-Supplemental_Information.docx</a>"	""	"2097"	"2034"	"6"	"218"	"27317456_6_218"	"hipc_vac_gene_sig_27317456_6.txt"	"hipc_vac_gene_sig_complete_27317456_6.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_27317456_6"	"2016.06.19"	"hipc_vac_gene_27317456_6"	"ZMAT2"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"ZMAT2"	"N"	"gene expression"	"negatively correlated"	"memory B cell response at 28d"	"time of vaccination"	"28"	"days"	"VO:0000045"	""	"2010"	""	""	""	"27317456"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2016"	"Suppl Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/bin/NIHMS880612-supplement-Supplemental_Information.docx' target='_blank'>supplement-Supplemental_Information.docx</a>"	""	"2097"	"2034"	"6"	"218"	"27317456_6_218"	"hipc_vac_gene_sig_27317456_6.txt"	"hipc_vac_gene_sig_complete_27317456_6.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_27317456_6"	"2016.06.19"	"hipc_vac_gene_27317456_6"	"PRR13"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PRR13"	"N"	"gene expression"	"negatively correlated"	"memory B cell response at 28d"	"time of vaccination"	"28"	"days"	"VO:0000045"	""	"2010"	""	""	""	"27317456"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2016"	"Suppl Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/bin/NIHMS880612-supplement-Supplemental_Information.docx' target='_blank'>supplement-Supplemental_Information.docx</a>"	""	"2097"	"2034"	"6"	"218"	"27317456_6_218"	"hipc_vac_gene_sig_27317456_6.txt"	"hipc_vac_gene_sig_complete_27317456_6.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_27317456_6"	"2016.06.19"	"hipc_vac_gene_27317456_6"	"XRCC6"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"XRCC6"	"N"	"gene expression"	"negatively correlated"	"memory B cell response at 28d"	"time of vaccination"	"28"	"days"	"VO:0000045"	""	"2010"	""	""	""	"27317456"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2016"	"Suppl Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/bin/NIHMS880612-supplement-Supplemental_Information.docx' target='_blank'>supplement-Supplemental_Information.docx</a>"	""	"2097"	"2034"	"6"	"218"	"27317456_6_218"	"hipc_vac_gene_sig_27317456_6.txt"	"hipc_vac_gene_sig_complete_27317456_6.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_27317456_6"	"2016.06.19"	"hipc_vac_gene_27317456_6"	"SMIM29"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"C6orf1"	"N"	"gene expression"	"negatively correlated"	"memory B cell response at 28d"	"time of vaccination"	"28"	"days"	"VO:0000045"	""	"2010"	""	""	""	"27317456"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2016"	"Suppl Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/bin/NIHMS880612-supplement-Supplemental_Information.docx' target='_blank'>supplement-Supplemental_Information.docx</a>"	""	"2097"	"2034"	"6"	"218"	"27317456_6_218"	"hipc_vac_gene_sig_27317456_6.txt"	"hipc_vac_gene_sig_complete_27317456_6.txt"	"1316510"	"654811"	"604436"
