"","submission_name","submission_date","template_name","response_component","curation_date","cohort","age_min","age_max","age_units","number_subjects","tissue_type","tissue_type_term_id","response_component_original","is_model","response_behavior_type","response_behavior","comparison","baseline_time_event","time_point","time_point_units","exposure_material_id","additional_exposure_material","target_pathogen_taxonid","vaccine_year","adjuvant","route","scheduling","publication_reference_id","publication_reference_url","publication_date","signature_source","signature_source_url","comments","response_comp_orig_cnt","response_comp_cnt","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete"
"subject","","","","gene","","","","","","","","cell_subset","","","","","","","","","vaccine","","pathogen","","","","","","","","","","","","","","","","",""
"evidence","label","label","label","","label","label","label","label","label","label","label","","label","label","label","label","label","label","label","label","","label","","label","label","label","label","label","url","label","label","label","label","label","label","label","label","label","file","file"
"role","background","background","background","gene_biomarker","background","observed","observed","observed","observed","observed","background","tissue","observed","background","background","measured","background","background","observed","observed","vaccine","background","pathogen","background","background","background","background","background","reference","background","background","background","background","observed","observed","background","background","background","observed","observed"
"mime_type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"numeric_units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"display_text","submission name","submission_date","template_name","response component","curation date YYYY-MM-DD ","Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested.","age_min - age of youngest subject including both cases and controls","age_max - age of oldest subject including both case and controls","age units","number of subjects - count of case plus control subjects used in the measurement.","tissue type","tissue (Cell Ontology)","response component (original gene symbol)","signature was derived from a computational model","response behavior type","response behavior (direction, correlation type etc.)","comparison (affected vs control, correlated variable, time vs baseline event etc.)","baseline time event","time point relative to baseline event at which response was measured","time point units","exposure material (vaccine ontology)","exposure material - additional","target pathogen (NCBI TaxID)","vaccine year (influenza only)","adjuvant","route","scheduling","publication reference (PMID)","Howard et al. (2017) Cell-Based Systems Biology Analysis of Human AS03-Adjuvanted H5N1 Avian Influenza Vaccine Responses: A Phase I Randomized Controlled Trial. PLoS One. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28099485' target='_blank'>28099485</a>","print publication date or posted date (YYYY-MM-DD or YYYY)","signature source figure, table or text section","signature source url","comments and additional details","response component (original) count","response component count","ID of observation within a publication (PMID) and for its submission type ","ID of observation within its submission type","row key","response component (genes) file"," response components including non-HGNC genes"
"","hipc_vac_gene_28099485_16","2017.01.19","hipc_vac_gene_28099485_16","PAQR4","","","18","49","years","20","natural killer cell","CL:0000623","PAQR4","N","gene expression","up","3d vs 0d","time of vaccination","3","days","VO:0004903","","400788","2005mv","AS03 (VO:0001320)","intramuscular","","28099485","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/","2017","s4_nkc_d3","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/bin/pone.0167488.s005.xlsx' target='_blank'>pone.0167488.s005.xlsx</a>","","68","68","16","457","28099485_16_457","hipc_vac_gene_sig_28099485_16.txt","hipc_vac_gene_sig_complete_28099485_16.txt"
"","hipc_vac_gene_28099485_16","2017.01.19","hipc_vac_gene_28099485_16","MCM4","","","18","49","years","20","natural killer cell","CL:0000623","MCM4","N","gene expression","up","3d vs 0d","time of vaccination","3","days","VO:0004903","","400788","2005mv","AS03 (VO:0001320)","intramuscular","","28099485","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/","2017","s4_nkc_d3","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/bin/pone.0167488.s005.xlsx' target='_blank'>pone.0167488.s005.xlsx</a>","","68","68","16","457","28099485_16_457","hipc_vac_gene_sig_28099485_16.txt","hipc_vac_gene_sig_complete_28099485_16.txt"
"","hipc_vac_gene_28099485_16","2017.01.19","hipc_vac_gene_28099485_16","ESCO2","","","18","49","years","20","natural killer cell","CL:0000623","ESCO2","N","gene expression","up","3d vs 0d","time of vaccination","3","days","VO:0004903","","400788","2005mv","AS03 (VO:0001320)","intramuscular","","28099485","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/","2017","s4_nkc_d3","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/bin/pone.0167488.s005.xlsx' target='_blank'>pone.0167488.s005.xlsx</a>","","68","68","16","457","28099485_16_457","hipc_vac_gene_sig_28099485_16.txt","hipc_vac_gene_sig_complete_28099485_16.txt"
"","hipc_vac_gene_28099485_16","2017.01.19","hipc_vac_gene_28099485_16","CDCA8","","","18","49","years","20","natural killer cell","CL:0000623","CDCA8","N","gene expression","up","3d vs 0d","time of vaccination","3","days","VO:0004903","","400788","2005mv","AS03 (VO:0001320)","intramuscular","","28099485","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/","2017","s4_nkc_d3","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/bin/pone.0167488.s005.xlsx' target='_blank'>pone.0167488.s005.xlsx</a>","","68","68","16","457","28099485_16_457","hipc_vac_gene_sig_28099485_16.txt","hipc_vac_gene_sig_complete_28099485_16.txt"
