"","submission_name","submission_date","template_name","tissue_type","response_component_original","response_comp_orig_cnt","response_component","response_comp_cnt","response_behavior_type","response_behavior","subgroup","time_point","time_point_units","baseline_time","comparison","vaccine_year","exposure_material_text","exposure_material","additional_exposure_material","cohort","adjuvant","route","publication_reference","publication_year","signature_source","signature_source_url","comments","is_model","publication_reference_url","age_group","age_min","age_max","age_units","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete","target_pathogen_1","target_pathogen_2","target_pathogen_3"
"subject","","","","cell_subset","","","gene","","","","","","","","","","","vaccine","","","","","","","","","","","","","","","","","","","","","pathogen","pathogen","pathogen"
"evidence","","","","","label","label","","label","label","label","label","label","label","label","label","label","label","","label","label","label","label","label","label","label","label","label","label","url","label","label","label","label","label","label","label","file","file","","",""
"role","","","","tissue","observed","observed","gene_biomarker","observed","background","measured","background","observed","observed","background","background","background","background","vaccine","background","observed","background","background","background","background","background","background","background","background","reference","observed","observed","observed","observed","background","background","background","observed","observed","pathogen","pathogen","pathogen"
"mime_type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"numeric_units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"display_text","","","","tissue type","response component (original gene symbol)","response component (original) count","response component (gene symbol)","response component count","response behavior type","response behavior","subgroup","time point","time point units","baseline time","comparison","vaccine year (influenza only)","exposure material (name)","exposure material (VO)","additional exposure material","cohort","adjuvant","route","publication reference (PMID)","publication year","signature source figure, table or text section ","signature source url","comments and additional details","gene signature is a model","Voigt et al. (2019) Sex Differences in Older Adults' Immune Responses to Seasonal Influenza Vaccination. Front Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30873150' target='_blank'>30873150</a>","age group","min. age","max. age","age units","ID of observation within its own submission","Uniq ID of observation within its submission type","row key","signature response component (genes) file"," signature response components including non-HGNC genes","target pathogen 1","target pathogen 2","target pathogen 3"
"","hipc_gene_30873150_1","2019.02","hipc_gene_30873150_1","peripheral blood mononuclear cell","MOXD1","20","MOXD1","20","gene expression","up","females","0","days","time of vaccination (first dose)","females vs males","2010","Fluarix","VO_0000045","","adults (50-74)","","","30873150","2019","Table 2","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/table/T2/' target='_blank'>table/T2</a>","Caucasian adults (50-74); See Suppl Table 6 for full DE gene list","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/","adults, seniors","50","74","years","1","378","30873150_1_378","hipc_gene_sig_30873150_1.txt","hipc_gene_sig_complete_30873150_1.txt","influenza A virus (A/California/7/2009(H1N1))","influenza A virus (A/Perth/16/2009(H3N2))","influenza B virus (B/Brisbane/60/2008)"
"","hipc_gene_30873150_1","2019.02","hipc_gene_30873150_1","peripheral blood mononuclear cell","STAP1","20","STAP1","20","gene expression","up","females","0","days","time of vaccination (first dose)","females vs males","2010","Fluarix","VO_0000045","","adults (50-74)","","","30873150","2019","Table 2","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/table/T2/' target='_blank'>table/T2</a>","Caucasian adults (50-74); See Suppl Table 6 for full DE gene list","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/","adults, seniors","50","74","years","1","378","30873150_1_378","hipc_gene_sig_30873150_1.txt","hipc_gene_sig_complete_30873150_1.txt","influenza A virus (A/California/7/2009(H1N1))","influenza A virus (A/Perth/16/2009(H3N2))","influenza B virus (B/Brisbane/60/2008)"
"","hipc_gene_30873150_1","2019.02","hipc_gene_30873150_1","peripheral blood mononuclear cell","PAWR","20","PAWR","20","gene expression","up","females","0","days","time of vaccination (first dose)","females vs males","2010","Fluarix","VO_0000045","","adults (50-74)","","","30873150","2019","Table 2","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/table/T2/' target='_blank'>table/T2</a>","Caucasian adults (50-74); See Suppl Table 6 for full DE gene list","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/","adults, seniors","50","74","years","1","378","30873150_1_378","hipc_gene_sig_30873150_1.txt","hipc_gene_sig_complete_30873150_1.txt","influenza A virus (A/California/7/2009(H1N1))","influenza A virus (A/Perth/16/2009(H3N2))","influenza B virus (B/Brisbane/60/2008)"
"","hipc_gene_30873150_1","2019.02","hipc_gene_30873150_1","peripheral blood mononuclear cell","PTPRK","20","PTPRK","20","gene expression","up","females","0","days","time of vaccination (first dose)","females vs males","2010","Fluarix","VO_0000045","","adults (50-74)","","","30873150","2019","Table 2","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/table/T2/' target='_blank'>table/T2</a>","Caucasian adults (50-74); See Suppl Table 6 for full DE gene list","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/","adults, seniors","50","74","years","1","378","30873150_1_378","hipc_gene_sig_30873150_1.txt","hipc_gene_sig_complete_30873150_1.txt","influenza A virus (A/California/7/2009(H1N1))","influenza A virus (A/Perth/16/2009(H3N2))","influenza B virus (B/Brisbane/60/2008)"
