"","submission_name","submission_date","template_name","tissue_type","response_component_original","response_comp_orig_cnt","response_component","response_comp_cnt","response_behavior_type","response_behavior","subgroup","time_point","time_point_units","baseline_time","comparison","target_pathogen","vaccine_year","exposure_material_text","exposure_material","additional_exposure_material","cohort","adjuvant","route","publication_reference","publication_year","signature_source","signature_source_url","comments","is_model","publication_reference_url","age_group","age_min","age_max","age_units","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete"
"subject","","","","cell_subset","","","gene","","","","","","","","","pathogen","","","vaccine","","","","","","","","","","","","","","","","","","","",""
"evidence","","","","","label","label","","label","label","label","label","label","label","label","label","","label","label","","label","label","label","label","label","label","label","label","label","label","url","label","label","label","label","label","label","label","file","file"
"role","","","","tissue","observed","observed","gene_biomarker","observed","background","measured","background","observed","observed","background","background","pathogen","background","background","vaccine","background","observed","background","background","background","background","background","background","background","background","reference","observed","observed","observed","observed","background","background","background","observed","observed"
"mime_type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"numeric_units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"display_text","","","","tissue type","response component (original gene symbol)","response component (original) count","response component (gene symbol)","response component count","response behavior type","response behavior","subgroup","time point","time point units","baseline time","comparison","target pathogen","vaccine year (influenza only)","exposure material (name)","exposure material (VO)","additional exposure material","cohort","adjuvant","route","publication reference (PMID)","publication year","signature source figure, table or text section ","signature source url","comments and additional details","gene signature is a model","Patel et al. (2018) Impact of Zostavax Vaccination on T-Cell Accumulation and Cutaneous Gene Expression in the Skin of Older Humans After Varicella Zoster Virus Antigen-Specific Challenge. J Infect Dis PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30247603' target='_blank'>30247603</a>","age group","min. age","max. age","age units","ID of observation within its own submission","Uniq ID of observation within its submission type","row key","signature response component (genes) file"," signature response components including non-HGNC genes"
"","hipc_gene_30247603_2","2018.09","hipc_gene_30247603_2","skin of body","GZMB","4","GZMB","4","gene expression","up","VZV challenge","72","hours","time of challenge (second dose)","VZV challenged post-vaccination vs unchallenged","human alphaherpesvirus 3","","Zostavax","VO_0000124","Varicella zoster virus (VZV) antigen challenge","adults (70-93)","","","30247603","2018","Results: Transcriptional Analysis After Zostavax Vaccination","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/' target='_blank'></a>","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/","seniors","70","93","years","2","396","30247603_2_396","hipc_gene_sig_30247603_2.txt","hipc_gene_sig_complete_30247603_2.txt"
"","hipc_gene_30247603_2","2018.09","hipc_gene_30247603_2","skin of body","GNLY","4","GNLY","4","gene expression","up","VZV challenge","72","hours","time of challenge (second dose)","VZV challenged post-vaccination vs unchallenged","human alphaherpesvirus 3","","Zostavax","VO_0000124","Varicella zoster virus (VZV) antigen challenge","adults (70-93)","","","30247603","2018","Results: Transcriptional Analysis After Zostavax Vaccination","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/' target='_blank'></a>","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/","seniors","70","93","years","2","396","30247603_2_396","hipc_gene_sig_30247603_2.txt","hipc_gene_sig_complete_30247603_2.txt"
"","hipc_gene_30247603_2","2018.09","hipc_gene_30247603_2","skin of body","GZMA","4","GZMA","4","gene expression","up","VZV challenge","72","hours","time of challenge (second dose)","VZV challenged post-vaccination vs unchallenged","human alphaherpesvirus 3","","Zostavax","VO_0000124","Varicella zoster virus (VZV) antigen challenge","adults (70-93)","","","30247603","2018","Results: Transcriptional Analysis After Zostavax Vaccination","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/' target='_blank'></a>","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/","seniors","70","93","years","2","396","30247603_2_396","hipc_gene_sig_30247603_2.txt","hipc_gene_sig_complete_30247603_2.txt"
"","hipc_gene_30247603_2","2018.09","hipc_gene_30247603_2","skin of body","CD8A","4","CD8A","4","gene expression","up","VZV challenge","72","hours","time of challenge (second dose)","VZV challenged post-vaccination vs unchallenged","human alphaherpesvirus 3","","Zostavax","VO_0000124","Varicella zoster virus (VZV) antigen challenge","adults (70-93)","","","30247603","2018","Results: Transcriptional Analysis After Zostavax Vaccination","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/' target='_blank'></a>","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/","seniors","70","93","years","2","396","30247603_2_396","hipc_gene_sig_30247603_2.txt","hipc_gene_sig_complete_30247603_2.txt"
