"","submission_name","submission_date","template_name","tissue_type","response_component_original","response_comp_orig_cnt","response_component","response_comp_cnt","response_behavior_type","response_behavior","subgroup","time_point","time_point_units","baseline_time","comparison","vaccine_year","exposure_material_text","exposure_material","additional_exposure_material","cohort","adjuvant","route","publication_reference","publication_year","signature_source","signature_source_url","comments","is_model","publication_reference_url","age_group","age_min","age_max","age_units","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete","target_pathogen_1","target_pathogen_2","target_pathogen_3"
"subject","","","","cell_subset","","","gene","","","","","","","","","","","vaccine","","","","","","","","","","","","","","","","","","","","","pathogen","pathogen","pathogen"
"evidence","","","","","label","label","","label","label","label","label","label","label","label","label","label","label","","label","label","label","label","label","label","label","label","label","label","url","label","label","label","label","label","label","label","file","file","","",""
"role","","","","tissue","observed","observed","gene_biomarker","observed","background","measured","background","observed","observed","background","background","background","background","vaccine","background","observed","background","background","background","background","background","background","background","background","reference","observed","observed","observed","observed","background","background","background","observed","observed","pathogen","pathogen","pathogen"
"mime_type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"numeric_units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"display_text","","","","tissue type","response component (original gene symbol)","response component (original) count","response component (gene symbol)","response component count","response behavior type","response behavior","subgroup","time point","time point units","baseline time","comparison","vaccine year (influenza only)","exposure material (name)","exposure material (VO)","additional exposure material","cohort","adjuvant","route","publication reference (PMID)","publication year","signature source figure, table or text section ","signature source url","comments and additional details","gene signature is a model","Nakaya et al. (2011) Systems biology of vaccination for seasonal influenza in humans. Nat Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478' target='_blank'>21743478</a>","age group","min. age","max. age","age units","ID of observation within its own submission","Uniq ID of observation within its submission type","row key","signature response component (genes) file"," signature response components including non-HGNC genes","target pathogen 1","target pathogen 2","target pathogen 3"
"","hipc_gene_21743478_4","2011.07","hipc_gene_21743478_4","peripheral blood mononuclear cell","CXCL1","10","CXCL1","10","gene expression","down","none","7","Days","time of vaccination (first dose)","7d vs 0d","2008","FluMist","VO_0000044","","adults (18-50)","","","21743478","2011","Fig 2A","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F2/' target='_blank'>figure/F2</a>","Molecular signature induced by LAIV vaccination. (a) Interferon (IFN)-related genes differentially expressed after LAIV vaccination","","https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478","adults","18","50","years","4","233","21743478_4_233","hipc_gene_sig_21743478_4.txt","hipc_gene_sig_complete_21743478_4.txt","influenza A virus (A/Brisbane/59/2007(H1N1))","influenza A virus (A/Brisbane/10/2007(H3N2))","influenza B virus (B/Florida/4/2006)"
"","hipc_gene_21743478_4","2011.07","hipc_gene_21743478_4","peripheral blood mononuclear cell","IL8","10","CXCL8","10","gene expression","down","none","7","Days","time of vaccination (first dose)","7d vs 0d","2008","FluMist","VO_0000044","","adults (18-50)","","","21743478","2011","Fig 2A","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F2/' target='_blank'>figure/F2</a>","Molecular signature induced by LAIV vaccination. (a) Interferon (IFN)-related genes differentially expressed after LAIV vaccination","","https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478","adults","18","50","years","4","233","21743478_4_233","hipc_gene_sig_21743478_4.txt","hipc_gene_sig_complete_21743478_4.txt","influenza A virus (A/Brisbane/59/2007(H1N1))","influenza A virus (A/Brisbane/10/2007(H3N2))","influenza B virus (B/Florida/4/2006)"
"","hipc_gene_21743478_4","2011.07","hipc_gene_21743478_4","peripheral blood mononuclear cell","CDKN1B","10","CDKN1B","10","gene expression","down","none","7","Days","time of vaccination (first dose)","7d vs 0d","2008","FluMist","VO_0000044","","adults (18-50)","","","21743478","2011","Fig 2A","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F2/' target='_blank'>figure/F2</a>","Molecular signature induced by LAIV vaccination. (a) Interferon (IFN)-related genes differentially expressed after LAIV vaccination","","https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478","adults","18","50","years","4","233","21743478_4_233","hipc_gene_sig_21743478_4.txt","hipc_gene_sig_complete_21743478_4.txt","influenza A virus (A/Brisbane/59/2007(H1N1))","influenza A virus (A/Brisbane/10/2007(H3N2))","influenza B virus (B/Florida/4/2006)"
"","hipc_gene_21743478_4","2011.07","hipc_gene_21743478_4","peripheral blood mononuclear cell","SOCS3","10","SOCS3","10","gene expression","down","none","7","Days","time of vaccination (first dose)","7d vs 0d","2008","FluMist","VO_0000044","","adults (18-50)","","","21743478","2011","Fig 2A","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F2/' target='_blank'>figure/F2</a>","Molecular signature induced by LAIV vaccination. (a) Interferon (IFN)-related genes differentially expressed after LAIV vaccination","","https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478","adults","18","50","years","4","233","21743478_4_233","hipc_gene_sig_21743478_4.txt","hipc_gene_sig_complete_21743478_4.txt","influenza A virus (A/Brisbane/59/2007(H1N1))","influenza A virus (A/Brisbane/10/2007(H3N2))","influenza B virus (B/Florida/4/2006)"
