"","submission_name","submission_date","template_name","tissue_type","response_component_original","response_comp_orig_cnt","response_component","response_comp_cnt","response_behavior_type","response_behavior","subgroup","time_point","time_point_units","baseline_time","comparison","target_pathogen","vaccine_year","exposure_material","additional_exposure_material","cohort","adjuvant","route","publication_reference","publication_year","signature_source","signature_source_url","comments","is_model","publication_reference_url","age_group","age_min","age_max","age_units","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete"
"subject","","","","cell_subset","","","gene","","","","","","","","","pathogen","","vaccine","","","","","","","","","","","","","","","","","","","",""
"evidence","","","","","label","label","","label","label","label","label","label","label","label","label","","label","","label","label","label","label","label","label","label","label","label","label","url","label","label","label","label","label","label","label","file","file"
"role","","","","tissue","observed","observed","gene_biomarker","observed","background","measured","background","observed","observed","background","background","pathogen","background","vaccine","background","observed","background","background","background","background","background","background","background","background","reference","observed","observed","observed","observed","background","background","background","observed","observed"
"mime_type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"numeric_units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"display_text","","","","tissue type","response component (original gene symbol)","response component (original) count","response component (gene symbol)","response component count","response behavior type","response behavior","subgroup","time point","time point units","baseline time","comparison","target pathogen","vaccine year (influenza only)","exposure material (VO)","exposure material - additional","cohort","adjuvant","route","publication reference (PMID)","publication year","signature source figure, table or text section ","signature source url","comments and additional details","gene signature is a model","Hoft et al. (2018) PO and ID BCG vaccination in humans induce distinct mucosal and systemic immune responses and CD4<sup>+</sup> T cell transcriptomal molecular signatures. Mucosal Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28853442' target='_blank'>28853442</a>","age group","age min.","age max.","age units","ID of observation within its own submission","Uniq ID of observation within its submission type","row key","response component (genes) file"," response components including non-HGNC genes"
"","hipc_gene_28853442_2","2018.03","hipc_gene_28853442_2","CD4-positive, alpha-beta memory T cell","MATK","40","MATK","40","gene expression","up regulated for","none","7","days","time of vaccination (first dose)","7d vs 0d","mycobacterium tuberculosis","","VO_0000771","None","adults (18-45)","","PO (oral)","28853442","2017","Fig 6A (PO)","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/figure/F6/' target='_blank'>figure/F6</a>","top 100 most significantly altered genes comparing Day 0 and Day 7 responses directly ex vivo","N","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/","adults","18","45","years","2","469","28853442_2_469","hipc_gene_sig_28853442_2.txt","hipc_gene_sig_complete_28853442_2.txt"
"","hipc_gene_28853442_2","2018.03","hipc_gene_28853442_2","CD4-positive, alpha-beta memory T cell","NDP","40","NDP","40","gene expression","up regulated for","none","7","days","time of vaccination (first dose)","7d vs 0d","mycobacterium tuberculosis","","VO_0000771","None","adults (18-45)","","PO (oral)","28853442","2017","Fig 6A (PO)","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/figure/F6/' target='_blank'>figure/F6</a>","top 100 most significantly altered genes comparing Day 0 and Day 7 responses directly ex vivo","N","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/","adults","18","45","years","2","469","28853442_2_469","hipc_gene_sig_28853442_2.txt","hipc_gene_sig_complete_28853442_2.txt"
"","hipc_gene_28853442_2","2018.03","hipc_gene_28853442_2","CD4-positive, alpha-beta memory T cell","SIX5","40","SIX5","40","gene expression","up regulated for","none","7","days","time of vaccination (first dose)","7d vs 0d","mycobacterium tuberculosis","","VO_0000771","None","adults (18-45)","","PO (oral)","28853442","2017","Fig 6A (PO)","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/figure/F6/' target='_blank'>figure/F6</a>","top 100 most significantly altered genes comparing Day 0 and Day 7 responses directly ex vivo","N","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/","adults","18","45","years","2","469","28853442_2_469","hipc_gene_sig_28853442_2.txt","hipc_gene_sig_complete_28853442_2.txt"
"","hipc_gene_28853442_2","2018.03","hipc_gene_28853442_2","CD4-positive, alpha-beta memory T cell","SMPD1","40","SMPD1","40","gene expression","up regulated for","none","7","days","time of vaccination (first dose)","7d vs 0d","mycobacterium tuberculosis","","VO_0000771","None","adults (18-45)","","PO (oral)","28853442","2017","Fig 6A (PO)","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/figure/F6/' target='_blank'>figure/F6</a>","top 100 most significantly altered genes comparing Day 0 and Day 7 responses directly ex vivo","N","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/","adults","18","45","years","2","469","28853442_2_469","hipc_gene_sig_28853442_2.txt","hipc_gene_sig_complete_28853442_2.txt"
