"","submission_name","submission_date","template_name","tissue_type","response_component_original","response_comp_orig_cnt","response_component","response_comp_cnt","response_behavior_type","response_behavior","subgroup","time_point","time_point_units","baseline_time","comparison","target_pathogen","vaccine_year","exposure_material_text","exposure_material","additional_exposure_material","cohort","adjuvant","route","publication_reference","publication_year","signature_source","signature_source_url","comments","is_model","short_comment","process_note","publication_reference_url","age_group","age_min","age_max","age_units","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete"
"subject","","","","cell_subset","","","gene","","","","","","","","","pathogen","","","vaccine","","","","","","","","","","","","","","","","","","","","","",""
"evidence","","","","","label","label","","label","label","label","label","label","label","label","label","","label","label","","label","label","label","label","label","label","label","label","label","label","label","label","url","label","label","label","label","label","label","label","file","file"
"role","","","","tissue","observed","observed","gene_biomarker","observed","background","measured","background","observed","observed","background","background","pathogen","background","background","vaccine","background","observed","background","background","background","background","background","background","background","background","background","background","reference","observed","observed","observed","observed","background","background","background","observed","observed"
"mime_type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"numeric_units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"display_text","","","","tissue type","response component (original gene symbol)","response component (original) count","response component (gene symbol)","response component count","response behavior type","response behavior","subgroup","time point","time point units","baseline time","comparison","target pathogen","vaccine year (influenza only)","exposure material (name)","exposure material (VO)","additional exposure material","cohort","adjuvant","route","publication reference (PMID)","publication year","signature source figure, table or text section ","signature source url","comments and additional details","gene signature is a model","short comment for mSigDB standard name","internal use only","Howard et al. (2019) AS03-Adjuvanted H5N1 Avian Influenza Vaccine Modulates Early Innate Immune Signatures in Human Peripheral Blood Mononuclear Cells. J Infect Dis PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30566602' target='_blank'>30566602</a>","age group","min. age","max. age","age units","ID of observation within its own submission","Uniq ID of observation within its submission type","row key","signature response component (genes) file"," signature response components including non-HGNC genes"
"","hipc_gene_30566602_1","2019.05","hipc_gene_30566602_1","peripheral blood mononuclear cell","CACNA1I","53","CACNA1I","35","gene expression","down","none","1","day","time of vaccination (first dose)","vaccinated with AS03 adjuvant vs phosphate-bufferred saline","influenza A virus (A/Indonesia/5/2005(H5N1))","2005mv","inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine","VO_0004903","","adults (19-39)","AS03 (VO_0001320)","i.m.","30566602","2019","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6500554/bin/jiy721_suppl_supplementary_table_1a.xlsx' target='_blank'>jiy721_suppl_supplementary_table_1a.xlsx</a>","","","","","https://academic.oup.com/jid/article/219/11/1786/5253567","adults","19","39","years","1","385","30566602_1_385","hipc_gene_sig_30566602_1.txt","hipc_gene_sig_complete_30566602_1.txt"
"","hipc_gene_30566602_1","2019.05","hipc_gene_30566602_1","peripheral blood mononuclear cell","MFGE8","53","MFGE8","35","gene expression","down","none","1","day","time of vaccination (first dose)","vaccinated with AS03 adjuvant vs phosphate-bufferred saline","influenza A virus (A/Indonesia/5/2005(H5N1))","2005mv","inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine","VO_0004903","","adults (19-39)","AS03 (VO_0001320)","i.m.","30566602","2019","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6500554/bin/jiy721_suppl_supplementary_table_1a.xlsx' target='_blank'>jiy721_suppl_supplementary_table_1a.xlsx</a>","","","","","https://academic.oup.com/jid/article/219/11/1786/5253567","adults","19","39","years","1","385","30566602_1_385","hipc_gene_sig_30566602_1.txt","hipc_gene_sig_complete_30566602_1.txt"
"","hipc_gene_30566602_1","2019.05","hipc_gene_30566602_1","peripheral blood mononuclear cell","HSPG2","53","HSPG2","35","gene expression","down","none","1","day","time of vaccination (first dose)","vaccinated with AS03 adjuvant vs phosphate-bufferred saline","influenza A virus (A/Indonesia/5/2005(H5N1))","2005mv","inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine","VO_0004903","","adults (19-39)","AS03 (VO_0001320)","i.m.","30566602","2019","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6500554/bin/jiy721_suppl_supplementary_table_1a.xlsx' target='_blank'>jiy721_suppl_supplementary_table_1a.xlsx</a>","","","","","https://academic.oup.com/jid/article/219/11/1786/5253567","adults","19","39","years","1","385","30566602_1_385","hipc_gene_sig_30566602_1.txt","hipc_gene_sig_complete_30566602_1.txt"
"","hipc_gene_30566602_1","2019.05","hipc_gene_30566602_1","peripheral blood mononuclear cell","NRCAM","53","NRCAM","35","gene expression","down","none","1","day","time of vaccination (first dose)","vaccinated with AS03 adjuvant vs phosphate-bufferred saline","influenza A virus (A/Indonesia/5/2005(H5N1))","2005mv","inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine","VO_0004903","","adults (19-39)","AS03 (VO_0001320)","i.m.","30566602","2019","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6500554/bin/jiy721_suppl_supplementary_table_1a.xlsx' target='_blank'>jiy721_suppl_supplementary_table_1a.xlsx</a>","","","","","https://academic.oup.com/jid/article/219/11/1786/5253567","adults","19","39","years","1","385","30566602_1_385","hipc_gene_sig_30566602_1.txt","hipc_gene_sig_complete_30566602_1.txt"
