"","submission_name","submission_date","template_name","response_component","curation_date","cohort","age_min","age_max","age_units","number_subjects","tissue_type","tissue_type_term_id","response_component_original","is_model","response_behavior_type","response_behavior","comparison","baseline_time_event","time_point","time_point_units","exposure_material_id","additional_exposure_material","vaccine_year","adjuvant","route","scheduling","publication_reference_id","publication_reference_url","publication_date","signature_source","signature_source_url","comments","response_comp_orig_cnt","response_comp_cnt","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete","target_pathogen_1","target_pathogen_2"
"subject","","","","gene","","","","","","","cell_subset","","","","","","","","","","vaccine","","","","","","","","","","","","","","","","","","","pathogen","pathogen"
"evidence","label","label","label","","label","label","label","label","label","label","","label","label","label","label","label","label","label","label","label","","label","label","label","label","label","label","url","label","label","label","label","label","label","label","label","label","file","file","",""
"role","background","background","background","gene_biomarker","background","observed","observed","observed","observed","observed","tissue","background","observed","background","background","measured","background","background","observed","observed","vaccine","background","background","background","background","background","background","reference","background","background","background","background","observed","observed","background","background","background","observed","observed","pathogen","pathogen"
"mime_type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"numeric_units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"display_text","submission name","submission_date","template_name","response component (gene symbol) - entity whose change is being measured","curation date (YYYY-MM-DD) ","Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested.","age of youngest subject including both cases and controls","age of oldest subject including both cases and controls","age units","number of subjects - count of case plus control subjects used in the measurement.","tissue type (as reported)","Cell Ontology ID of tissue","response component (original gene symbol)","signature was derived from a computational model","response behavior type","response behavior (direction, correlation type etc.)","comparison (affected vs control, correlated variable, time vs baseline event etc.)","baseline time event","time point relative to baseline event at which response was measured","time point units","exposure material","additional exposure material","vaccine year (influenza only)","adjuvant","route","scheduling","publication reference (PMID)","HIPC-CHI Signatures Project Team (2017) Multicohort analysis reveals baseline transcriptional predictors of influenza vaccination responses. Sci Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28842433' target='_blank'>28842433</a>","print publication date or posted date (YYYY-MM-DD or YYYY)","signature source figure, table or text section","signature source url","comments and additional details","response component (original) count","response component count","ID of observation within a publication (PMID) and for its submission type ","ID of observation within its submission type","row key","response component (genes) file"," response components including non-HGNC genes","target pathogen 1","target pathogen 2"
"","hipc_gene_28842433_1","2017.08.27","hipc_gene_28842433_1","RAB24","","subgroup high responders","21","35","years","","peripheral blood mononuclear cell","CL:2000001","RAB24","N","gene expression","up-regulated","high responders vs low responders","time of vaccination (first dose)","0","day","VO:0000642","","ut2","","","","28842433","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/","2017","Figure 4","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/figure/F4/' target='_blank'>figure/F4</a>","data from six different cohorts, trivalent vaccine year not specified","9","9","1","487","28842433_1_487","hipc_gene_sig_28842433_1.txt","hipc_gene_sig_complete_28842433_1.txt","influenza A virus","influenza B virus"
"","hipc_gene_28842433_1","2017.08.27","hipc_gene_28842433_1","GRB2","","subgroup high responders","21","35","years","","peripheral blood mononuclear cell","CL:2000001","GRB2","N","gene expression","up-regulated","high responders vs low responders","time of vaccination (first dose)","0","day","VO:0000642","","ut2","","","","28842433","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/","2017","Figure 4","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/figure/F4/' target='_blank'>figure/F4</a>","data from six different cohorts, trivalent vaccine year not specified","9","9","1","487","28842433_1_487","hipc_gene_sig_28842433_1.txt","hipc_gene_sig_complete_28842433_1.txt","influenza A virus","influenza B virus"
"","hipc_gene_28842433_1","2017.08.27","hipc_gene_28842433_1","DPP3","","subgroup high responders","21","35","years","","peripheral blood mononuclear cell","CL:2000001","DPP3","N","gene expression","up-regulated","high responders vs low responders","time of vaccination (first dose)","0","day","VO:0000642","","ut2","","","","28842433","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/","2017","Figure 4","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/figure/F4/' target='_blank'>figure/F4</a>","data from six different cohorts, trivalent vaccine year not specified","9","9","1","487","28842433_1_487","hipc_gene_sig_28842433_1.txt","hipc_gene_sig_complete_28842433_1.txt","influenza A virus","influenza B virus"
"","hipc_gene_28842433_1","2017.08.27","hipc_gene_28842433_1","ACTB","","subgroup high responders","21","35","years","","peripheral blood mononuclear cell","CL:2000001","ACTB","N","gene expression","up-regulated","high responders vs low responders","time of vaccination (first dose)","0","day","VO:0000642","","ut2","","","","28842433","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/","2017","Figure 4","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/figure/F4/' target='_blank'>figure/F4</a>","data from six different cohorts, trivalent vaccine year not specified","9","9","1","487","28842433_1_487","hipc_gene_sig_28842433_1.txt","hipc_gene_sig_complete_28842433_1.txt","influenza A virus","influenza B virus"
"","hipc_gene_28842433_1","2017.08.27","hipc_gene_28842433_1","MVP","","subgroup high responders","21","35","years","","peripheral blood mononuclear cell","CL:2000001","MVP","N","gene expression","up-regulated","high responders vs low responders","time of vaccination (first dose)","0","day","VO:0000642","","ut2","","","","28842433","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/","2017","Figure 4","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5800877/figure/F4/' target='_blank'>figure/F4</a>","data from six different cohorts, trivalent vaccine year not specified","9","9","1","487","28842433_1_487","hipc_gene_sig_28842433_1.txt","hipc_gene_sig_complete_28842433_1.txt","influenza A virus","influenza B virus"
