""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"vaccine"	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"tissue"	"background"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date (YYYY-MM-DD) "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age of youngest subject including both cases and controls"	"age of oldest subject including both cases and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"Cell Ontology ID of tissue"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material"	"additional exposure material"	"target pathogen"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"Howard et al. (2017) Cell-Based Systems Biology Analysis of Human AS03-Adjuvanted H5N1 Avian Influenza Vaccine Responses: A Phase I Randomized Controlled Trial. PLoS One. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28099485' target='_blank'>28099485</a>"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"ID of observation within a publication (PMID) and for its submission type "	"ID of observation within its submission type"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"
""	"hipc_gene_28099485_20"	"2017.01.19"	"hipc_gene_28099485_20"	"IFI35"	""	""	"18"	"49"	"years"	"20"	"T cell"	"CL:0000084"	"IFI35"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination (first dose)"	"1"	"day"	"VO:0004903"	""	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"AS03 (VO:0001320)"	"i.m."	""	"28099485"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"2017"	"s4_tcl_d1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/bin/pone.0167488.s005.xlsx' target='_blank'>pone.0167488.s005.xlsx</a>"	""	"43"	"42"	"20"	"461"	"28099485_20_461"	"hipc_gene_sig_28099485_20.txt"	"hipc_gene_sig_complete_28099485_20.txt"
""	"hipc_gene_28099485_20"	"2017.01.19"	"hipc_gene_28099485_20"	"TRAFD1"	""	""	"18"	"49"	"years"	"20"	"T cell"	"CL:0000084"	"TRAFD1"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination (first dose)"	"1"	"day"	"VO:0004903"	""	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"AS03 (VO:0001320)"	"i.m."	""	"28099485"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"2017"	"s4_tcl_d1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/bin/pone.0167488.s005.xlsx' target='_blank'>pone.0167488.s005.xlsx</a>"	""	"43"	"42"	"20"	"461"	"28099485_20_461"	"hipc_gene_sig_28099485_20.txt"	"hipc_gene_sig_complete_28099485_20.txt"
""	"hipc_gene_28099485_20"	"2017.01.19"	"hipc_gene_28099485_20"	"APOL6"	""	""	"18"	"49"	"years"	"20"	"T cell"	"CL:0000084"	"APOL6"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination (first dose)"	"1"	"day"	"VO:0004903"	""	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"AS03 (VO:0001320)"	"i.m."	""	"28099485"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"2017"	"s4_tcl_d1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/bin/pone.0167488.s005.xlsx' target='_blank'>pone.0167488.s005.xlsx</a>"	""	"43"	"42"	"20"	"461"	"28099485_20_461"	"hipc_gene_sig_28099485_20.txt"	"hipc_gene_sig_complete_28099485_20.txt"
""	"hipc_gene_28099485_20"	"2017.01.19"	"hipc_gene_28099485_20"	"ACOT7"	""	""	"18"	"49"	"years"	"20"	"T cell"	"CL:0000084"	"ACOT7"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination (first dose)"	"1"	"day"	"VO:0004903"	""	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"AS03 (VO:0001320)"	"i.m."	""	"28099485"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"2017"	"s4_tcl_d1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/bin/pone.0167488.s005.xlsx' target='_blank'>pone.0167488.s005.xlsx</a>"	""	"43"	"42"	"20"	"461"	"28099485_20_461"	"hipc_gene_sig_28099485_20.txt"	"hipc_gene_sig_complete_28099485_20.txt"
