""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"vaccine"	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"tissue"	"background"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date (YYYY-MM-DD) "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age of youngest subject including both cases and controls"	"age of oldest subject including both cases and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"Cell Ontology ID of tissue"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material"	"additional exposure material"	"target pathogen"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"Matsumiya et al. (2013) Roles for Treg expansion and HMGB1 signaling through the TLR1-2-6 axis in determining the magnitude of the antigen-specific immune response to MVA85A. PLoS One. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129' target='_blank'>23844129</a>"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"ID of observation within a publication (PMID) and for its submission type "	"ID of observation within its submission type"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"
""	"hipc_gene_23844129_4"	"2013.07.12"	"hipc_gene_23844129_4"	"CCL2"	""	"subgroup treated in vitro with MVA85A"	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CCL2"	"N"	"gene expression"	"up"	"vaccinated vs control"	"time of vaccination (first dose)"	"6"	"Hours"	"VO:0003120"	""	"mycobacterium tuberculosis variant bovis BCG"	""	""	""	""	"23844129"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	"103"	"95"	"4"	"288"	"23844129_4_288"	"hipc_gene_sig_23844129_4.txt"	"hipc_gene_sig_complete_23844129_4.txt"
""	"hipc_gene_23844129_4"	"2013.07.12"	"hipc_gene_23844129_4"	"AQP9"	""	"subgroup treated in vitro with MVA85A"	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"AQP9"	"N"	"gene expression"	"up"	"vaccinated vs control"	"time of vaccination (first dose)"	"6"	"Hours"	"VO:0003120"	""	"mycobacterium tuberculosis variant bovis BCG"	""	""	""	""	"23844129"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	"103"	"95"	"4"	"288"	"23844129_4_288"	"hipc_gene_sig_23844129_4.txt"	"hipc_gene_sig_complete_23844129_4.txt"
""	"hipc_gene_23844129_4"	"2013.07.12"	"hipc_gene_23844129_4"	"KLF4"	""	"subgroup treated in vitro with MVA85A"	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"KLF4"	"N"	"gene expression"	"up"	"vaccinated vs control"	"time of vaccination (first dose)"	"6"	"Hours"	"VO:0003120"	""	"mycobacterium tuberculosis variant bovis BCG"	""	""	""	""	"23844129"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	"103"	"95"	"4"	"288"	"23844129_4_288"	"hipc_gene_sig_23844129_4.txt"	"hipc_gene_sig_complete_23844129_4.txt"
""	"hipc_gene_23844129_4"	"2013.07.12"	"hipc_gene_23844129_4"	"LSM12"	""	"subgroup treated in vitro with MVA85A"	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"LSM12"	"N"	"gene expression"	"up"	"vaccinated vs control"	"time of vaccination (first dose)"	"6"	"Hours"	"VO:0003120"	""	"mycobacterium tuberculosis variant bovis BCG"	""	""	""	""	"23844129"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	"103"	"95"	"4"	"288"	"23844129_4_288"	"hipc_gene_sig_23844129_4.txt"	"hipc_gene_sig_complete_23844129_4.txt"
